"edition","fondation","jour1","url"
"États-Unis",2005-05-09,2011-01-01,"huffingtonpost.com"
"Canada",2011-05-26,2011-05-26,"huffingtonpost.ca"
"Royaume-Uni",2011-07-06,2011-07-06,"huffingtonpost.co.uk"
"France",2012-01-23,2012-01-23,"huffingtonpost.fr"
"Québec",2012-02-08,2012-02-08,"quebec.huffingtonpost.ca"
"Espagne",2012-06-07,2012-06-07,"huffingtonpost.es"
"Italie",2012-09-24,2012-09-24,"huffingtonpost.it"
"Japon",2013-05-06,2013-05-06,"huffingtonpost.jp"
"Maghreb",2013-06-25,2013-06-25,"huffpostmaghreb.com"
"Allemagne",2013-10-01,2013-10-01,"huffingtonpost.de"
"Brésil",2014-01-29,2014-01-29,"brasilpost.com.br"
"Corée du Sud",2014-02-26,2014-02-26,"huffingtonpost.kr"
"Grèce",2014-11-20,2014-11-20,"huffingtonpost.gr"
"Inde",2014-12-08,2014-12-08,"huffingtonpost.in"
"Arabe",2015-07-27,2015-07-27,"huffpostarabi.com"
"Australie",2015-08-18,2015-08-18,"huffingtonpost.com.au"
"Mexique",2016-09-01,2016-09-01,"huffingtonpost.com.mx"
"Afrique du Sud",2016-11-21,2016-11-21,"huffingtonpost.co.za"
